"Accession"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"	"F16"	"F17"	"F18"	"F19"	"F20"	"F21"	"F22"	"F23"	"F24"	"F25"	"F26"	"F27"	"F28"	"F29"	"F30"	"F31"	"F32"	"F33"	"F34"	"F35"	"F36"	"F37"	"F38"	"F39"	"F40"	"F41"	"F42"	"F43"	"F44"	"F45"	"F46"	"F47"	"F48"	"F49"	"F50"	"F51"	"F52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"F63"	"F64"	"F65"	"F66"	"F67"	"F68"	"F69"	"F70"	"F71"	"F72"	"F73"	"F74"	"F75"	"F76"	"F77"	"F78"	"F79"	"F80"	"F81"	"F82"	"F83"	"F84"	"F85"	"F86"	"F87"	"F88"	"F89"	"F90"	"F91"	"F92"	"F93"	"F94"	"F95"	"F96"	"F97"	"F98"	"F99"	"F100"	"F101"	"F102"	"F103"	"F104"	"F105"	"F106"	"F107"	"F108"	"F109"	"F110"	"F111"	"F112"	"F113"	"F114"	"F115"	"F116"	"F117"	"F118"	"F119"	"F120"	"F121"	"F122"	"F123"	"F124"	"F125"	"F126"	"F127"	"F128"	"F129"	"F130"	"F131"	"F132"	"F133"	"F134"	"F135"	"F136"	"F137"	"F138"	"F139"	"F140"	"F141"	"F142"	"F143"	"F144"	"F145"	"F146"	"F147"	"F148"	"F149"	"F150"	"F151"	"F152"	"F153"	"F154"	"F155"	"F156"	"F157"	"F158"	"F159"	"F160"	"F161"	"F162"	"F163"	"F164"	"F165"	"F166"	"F167"	"F168"	"F169"	"F170"	"F171"	"F172"	"F173"	"F174"	"F175"	"F176"	"F177"	"F178"	"F179"	"F180"	"F181"	"F182"	"F183"	"F184"	"F185"	"F186"	"F187"	"F188"	"F189"	"F190"	"F191"	"F192"	"F193"	"F194"	"F195"	"F196"	"F197"	"F198"	"F199"	"F200"
"B4DK17"	1669439.13465331	NA	NA	NA	NA	NA	NA	11708997.5927004	NA	NA	NA	10258879.3036855	NA	12931461.5195996	7071812.53778287	7027697.23659178	14552216.2336941	1920295.0807768	NA	NA	16960894.3007288	6798914.53700872	1105100.52297916	NA	NA	NA	NA	NA	2659793.38884746	NA	NA	12556529.2989359	12191154.3066123	NA	16875620.7941851	NA	13140556.8785978	NA	15807767.1611099	3823742.83418902	6430579.65085556	9615229.26181089	6051627.36899618	NA	6248816.10557826	NA	18246981.231718	NA	NA	11744304.7515136	NA	8424428.98597154	14183662.2524713	NA	NA	NA	NA	10035567.7139144	NA	NA	2550827.43645154	NA	7471568.74898713	NA	NA	NA	NA	2622185.84838607	NA	15804123.7342509	6122486.72496958	5928811.98912752	10025.0067761132	NA	6166738.03326882	15675295.4002837	NA	4724070.66112622	NA	11937031.2776986	16783453.2090518	NA	NA	NA	811890.330266485	1808644.47978107	NA	NA	NA	NA	NA	9983368.23624866	NA	19944230.7792953	18899827.2232372	12196031.7141339	18397961.9791928	840425.551363685	NA	NA	NA	NA	NA	19873709.4187348	18072585.2583932	NA	9115614.66369658	NA	NA	1918473.82654138	NA	11957076.1044638	NA	NA	16632279.5239167	19129835.8473624	NA	3390339.60551538	13280081.4183518	7818830.94162652	NA	20405622.407401	NA	6763975.50911384	2652922.26520458	NA	NA	6571707.54891435	NA	8341359.54927604	13752853.3087076	8634375.41960836	12170678.5511608	NA	NA	NA	10408634.3930935	4582233.24869265	11092038.2439221	13363086.3727745	13468399.809599	15256309.9148389	7650618.90439622	12493599.6541535	NA	11225736.8191277	10730829.7314744	NA	5161485.34289049	NA	NA	NA	NA	17318310.5360498	NA	9341845.34326139	7605880.89792958	NA	12462518.9226498	11763531.713129	NA	NA	396268.267962821	NA	5782000.27207822	NA	NA	NA	10170405.6662798	NA	NA	NA	NA	1794436.64773978	12139356.0789424	NA	NA	11017379.7205312	17835438.4452365	NA	8525831.44042411	2994546.6629508	NA	NA	NA	2674298.77391091	NA	6619368.88498764	16898332.4109441	4083058.95824484	4065872.75040605	NA	NA	NA	14912754.7319771	NA	NA	NA	NA	8777413.23205368
"P08637"	2910560.2941408	NA	18829333.3857721	NA	12633245.3830835	NA	783439.462888621	NA	20107141.3420575	NA	3945190.0535464	1529665.09309044	10276691.6143603	NA	NA	11780032.7510183	NA	NA	5168576.64653831	15058604.6443687	NA	NA	19148571.1667412	NA	NA	5502097.88144222	3142850.30878803	NA	3887148.78935926	NA	16335406.6943283	NA	NA	NA	12753441.5102549	13193265.0719556	NA	12196537.6270765	NA	NA	8493996.4266892	11316850.2183146	9699490.43331123	NA	9263761.10811947	16038122.5267493	16918225.2658734	3149387.31518585	3562967.33892117	8567436.69622087	7146183.66752383	15473384.1592446	6778520.61327782	4977419.24133592	NA	NA	12661499.9247575	NA	NA	5747723.15464271	NA	NA	7072856.10754236	235907.008122135	NA	NA	NA	17014658.2979191	NA	NA	5155780.53420878	9595216.20747107	NA	13724768.7021622	NA	NA	17523920.4309614	13546793.7557003	NA	4264613.39176062	12208958.5659252	9880897.42031338	NA	8951995.27654039	NA	700358.058595435	NA	NA	NA	3850695.81515181	NA	NA	NA	12279371.870737	NA	18980306.0390586	NA	NA	3062481.25701263	2421143.94506299	NA	5562997.57897469	NA	NA	NA	NA	NA	NA	3159196.41506189	NA	10434863.993447	NA	NA	5892493.80861373	NA	3441292.44969852	15289583.7193246	NA	NA	8971385.8873215	NA	14397863.0600185	8550946.16031484	NA	8706332.10198182	NA	NA	NA	NA	14495825.6271839	NA	2518281.69016889	9517256.44010354	NA	NA	946598.314045226	NA	NA	770607.623830106	NA	NA	NA	14372222.2892634	NA	NA	NA	5144342.54673904	10087951.2165921	8302870.56074623	NA	18123064.2903948	4325255.37433368	20070999.2351221	NA	1091332.56558194	5322984.40483139	19570327.5816929	13875366.3342396	1126016.32438032	17003539.0054343	8064151.69537822	1204476.73228552	10866039.5025864	NA	18548024.6239651	NA	NA	NA	NA	15204792.8995429	NA	2295377.96469212	14656573.6759749	15684602.4511096	NA	NA	211153.857194567	NA	NA	5686113.47640362	NA	13998760.9696285	8247616.97118572	12182075.3681911	7618269.60277964	10957363.7265905	11766425.1308791	13585832.6113276	13686199.6853788	NA	NA	NA	NA	NA	16360118.5986806	NA	NA	4232761.27126084	NA	NA
"Q96A83"	NA	NA	NA	NA	NA	11713348.5686786	NA	2048745.11017797	20111663.4618203	14543230.566399	NA	12439607.8728942	NA	1678182.63772824	NA	NA	1673261.28556858	NA	NA	NA	NA	NA	11956244.5586605	NA	19819383.1300345	NA	15565915.340457	7720634.15691617	11017564.3689051	11598164.9091979	NA	NA	10308431.0253099	13995159.1176804	NA	349574.955891238	2306629.93334332	13569738.8286461	NA	NA	18674134.9523305	13819842.5577222	3264364.77509986	7025723.20633599	NA	13676033.7655108	9671084.45751052	6716626.0158026	NA	6456059.77029241	14530926.2295438	NA	NA	210063.706594631	NA	NA	5178083.05422499	NA	NA	14991090.4532175	NA	NA	847935.364043804	NA	18668640.2689683	NA	6831490.41879679	NA	NA	NA	NA	NA	9813724.38421116	12056071.7584393	10186251.8219968	12848981.8213738	8629169.4146879	12787939.5071931	18812607.4664916	3068792.38749521	13827547.1400806	7956100.15309807	15598669.8130637	NA	13056006.0864751	13875073.7348036	NA	2813876.84189804	18809079.1522192	10690980.9526139	1494814.33990912	NA	NA	5238007.89932527	1900836.01914374	NA	5451455.79984433	NA	NA	NA	NA	16063859.6759232	NA	NA	NA	17581603.709327	7764651.16201766	NA	1314887.37119908	9550093.9388113	NA	4935027.94991653	NA	NA	NA	NA	9364094.43021423	NA	13728588.3310788	NA	14420176.529316	12213983.7149868	NA	12882054.2371243	14759010.1594183	2060086.11490084	NA	7476440.75086624	2317579.94261233	NA	11131029.0530946	NA	NA	NA	3580442.8771146	11229624.9512396	11333171.8088575	489319.861231201	NA	NA	10760493.6040991	NA	NA	NA	10569141.3578411	NA	11902289.6366504	NA	15474711.534754	NA	9761943.34420044	857454.762403124	NA	15191122.5625299	NA	10151246.8224222	NA	19554331.5716672	NA	2287649.19493853	6267841.59280556	NA	NA	NA	3259230.11895064	18581358.0189978	NA	12033672.8409702	NA	14346236.2997104	NA	NA	NA	NA	NA	18527933.5446951	5119343.16308395	NA	NA	6147658.83222734	11687901.7015569	NA	NA	NA	NA	NA	NA	NA	12123108.3829618	12260377.4849882	16576831.8879681	NA	NA	NA	13078317.2621812	NA	3761119.30770739	NA	NA	NA
"Q9Y2G0"	11573969.9955485	NA	1238452.8325195	NA	NA	NA	15487706.0046618	4538838.05902943	NA	17350805.7471884	NA	10820108.5193495	NA	7557235.36851186	13032906.7814115	NA	NA	NA	15970505.5141862	15292203.6334517	NA	15207228.1890884	NA	NA	2010746.84549655	478049.020416026	NA	13221993.8112487	NA	17393945.1300459	NA	7439448.9302198	NA	13283743.8791635	NA	NA	NA	11520514.0961901	5767343.35295981	NA	15982297.4237286	NA	NA	NA	14526680.6398025	NA	8388726.64899341	NA	2558715.71072774	NA	10724280.1817018	3519284.24169126	NA	19476092.2526382	12785712.1350285	NA	NA	16401827.765583	3922041.22213823	10387572.7202382	18377529.2499911	1149886.68534582	18909194.3642514	NA	NA	NA	10952042.5424645	NA	14792950.0094896	14806495.1126115	17169850.0028585	NA	18260470.703355	6319298.16102669	6327655.59844149	NA	NA	NA	NA	1928506.81804311	7086250.50934477	NA	NA	19783551.5858277	NA	13264969.3212915	15071019.7826204	NA	NA	NA	NA	12926606.7196551	420582.843313582	NA	NA	NA	NA	14173640.7717524	13213956.2251315	NA	8830011.75653518	NA	NA	2093713.64160278	NA	NA	47536.0831658487	20072656.706954	19403973.2725096	19218659.4192277	19298896.7941192	NA	NA	14075621.1170047	18647751.4434364	16306752.2968955	NA	7736966.21613303	NA	NA	NA	14855816.2807269	6675482.77589525	16578501.7461447	NA	3930070.66172372	NA	17533261.4193248	NA	10434971.582864	NA	16756760.3841528	NA	NA	1489337.19633419	695409.5640194	12295832.7565034	NA	3912383.97513586	3157589.01204217	9440833.09338808	NA	11474081.6254046	NA	19816664.8056141	12657815.6415193	NA	NA	NA	16128755.0664336	15350012.5787307	11103058.8406043	15844570.4219052	NA	19505166.9958797	11210343.8427877	NA	8025372.1583208	NA	9748009.41073675	16791981.875904	15024410.7766833	3711360.66798445	15010486.0699281	20130447.2321254	NA	10086993.6565058	NA	1627348.30845083	NA	NA	6275532.5754048	4674126.00734321	9148472.04336781	3862788.62293358	13183221.2739273	NA	NA	13786198.9425719	16490207.9034551	13239387.8175062	NA	17701040.4436509	NA	NA	25006.2882388824	NA	NA	NA	1207924.57576487	15853668.6131694	NA	623773.841671281	NA	14538433.5107082	NA	8102175.19432227	NA	NA	NA
"Q14573"	NA	NA	10863790.6125385	1419968.70324737	NA	11839368.8474144	8441270.39375939	NA	5280334.77984913	NA	13947709.1155826	10090663.3407024	NA	NA	16133152.3662939	4058196.19554286	9870468.03723225	NA	NA	13306472.4408987	17799567.4103366	NA	NA	NA	NA	1103077.66111803	NA	14658732.3450877	NA	NA	NA	5171065.36914726	NA	NA	14080586.5089722	14453867.8958948	18160283.7713895	NA	NA	19029442.596868	NA	4048424.47359119	14127365.5690001	15731599.8591246	15702063.171371	2728247.44802606	1730771.41206753	16957134.8619288	7032014.72233044	10911601.5221696	17607906.8616318	3833461.46092997	NA	19794723.8593195	14073965.0061004	2476387.68931153	17243718.8741758	NA	NA	NA	NA	NA	19838130.4645958	NA	NA	16107515.749699	20032052.4609988	18724932.6935926	NA	20016753.3839053	NA	18973184.6807997	NA	12525759.5727004	NA	17320493.0451882	NA	11073145.8516082	NA	6393320.08911518	NA	961065.678788397	NA	NA	NA	3224517.54274806	NA	NA	7461548.2818262	4619082.79054357	4882789.1100369	18836467.4634699	17524201.7480221	NA	10665734.2846054	1040774.75680909	NA	11421283.3824172	778318.953724653	NA	16725849.5782608	NA	7761746.40479024	NA	7465620.2343351	18983448.044988	NA	2875946.69449162	18484112.9890182	NA	NA	6274284.96167368	9072293.0735695	15147384.9853693	19405319.3821868	NA	6899450.94186051	4314896.32646581	1725378.77448356	2838784.70079216	5235942.03024829	NA	4489592.63652832	3049546.82494972	NA	15522112.1294694	NA	10573798.2379882	14514027.8293434	4245400.83884739	3176617.55421886	NA	19941699.7061419	6796843.63820978	NA	15628802.829793	20161063.8682803	1852387.86229727	6525601.55324199	5696606.69460321	17659407.6314493	6337149.25813844	12080922.6487133	19565734.436736	NA	NA	NA	1559934.52139944	NA	15083364.9663379	3380787.93984795	NA	NA	1734068.88256302	9054561.48112901	7148676.77270037	NA	3168305.23678865	18713777.1747376	5970383.16939068	NA	17567974.1858669	NA	6450005.31741883	NA	NA	4624186.94954227	NA	NA	4193964.19441612	6946694.1305466	6442960.57081901	NA	NA	NA	NA	13249971.0329921	NA	12737331.3203063	NA	3438849.12306647	NA	NA	NA	NA	NA	5023409.98642542	6164655.10501184	NA	NA	NA	9062165.99248169	NA	17505078.2121465	8925598.24878147	19061259.3951103	8552040.45079946	13720401.2380226	NA	NA
"O43182"	14662118.4091155	NA	16279888.309178	15625545.7350694	18666425.6971368	NA	12384324.9044279	7373302.70448183	NA	NA	NA	15230452.8945901	18723166.0715595	NA	17477514.3507512	16370489.5903537	NA	4540862.50546711	18112825.008915	17195677.1207678	3939117.96095726	NA	15895255.9675338	NA	NA	NA	949011.776405686	3954702.54733942	NA	1023951.93091745	NA	NA	NA	NA	11403753.7973155	4280034.87144466	7211362.62110122	NA	NA	NA	4238167.44198509	7052043.98883937	12133213.1657742	7163139.04110274	14843618.367459	NA	11012576.4788057	19185808.5919947	NA	NA	NA	8125116.06552306	793195.186803146	11817165.15168	8369626.52012107	NA	1833064.89818362	NA	13557436.228639	6907850.14928424	9818764.01811063	NA	NA	NA	NA	NA	18926285.5355649	NA	15768863.4941308	NA	18804155.3446797	NA	NA	6850707.86819432	60109.9883744943	2704984.46048732	13486433.7040328	6600198.88723388	3402149.21663373	NA	NA	NA	NA	9325812.71191101	NA	19447672.1726786	15076341.5330065	20087109.505965	8510700.89946371	7535146.68067739	NA	NA	NA	5867021.61205964	NA	12846115.8743757	869854.663975792	NA	NA	18187847.7184376	NA	449934.925519607	522431.739123854	NA	NA	NA	2763648.24436897	NA	NA	16641883.0666218	NA	NA	19861551.4244239	NA	1056875.93893967	NA	1892601.95505106	NA	NA	NA	NA	19427637.0770217	15278976.2593417	3128719.74983572	NA	12222898.1905408	NA	NA	7039030.06623201	NA	1737621.89814733	1110846.86374539	NA	15140670.2208883	1493128.27432188	NA	NA	9124291.61455633	NA	NA	NA	NA	NA	12479233.4976946	NA	NA	4518299.24885151	NA	13858864.9775315	NA	6864531.54748771	NA	13337601.4615401	1445707.71299021	NA	NA	NA	NA	NA	19618760.8777808	4849264.63791271	NA	18458610.2953136	NA	NA	NA	NA	NA	NA	18405122.5711865	NA	NA	NA	NA	NA	19112558.7333661	5898615.74160769	NA	9998194.56706198	NA	3410827.28573819	10548402.6626102	19620492.8199523	3591595.6645974	NA	5548404.30463522	12034713.4747425	NA	3230628.12198931	6414503.09390112	NA	15616286.2643665	6683554.96573823	232843.67903579	14806029.8419162	NA	NA	NA	NA	877425.856394486
"A0A059QJR7"	3745725.0656095	NA	13089360.6091952	2804200.57521855	2817503.8091466	NA	18385387.1318035	15746577.5336533	15220177.2249515	6537560.40006553	16928476.8052186	16349419.1523633	554479.852233332	19194876.9142289	NA	NA	11974850.6232258	NA	10210950.8118123	NA	8838314.74732863	NA	NA	3747450.0413543	2995064.12474407	4750073.18642552	NA	2417516.41631282	20379645.1211228	13344434.9122323	NA	9709466.02792896	17513010.9069096	3671478.34654107	2697180.99198683	3268042.93416388	NA	74264.1018431176	NA	20091890.2019736	7816195.94309201	NA	NA	1925966.03757385	5748121.43058342	NA	6076966.40401804	NA	NA	16360187.9298529	19728610.2149499	675647.92915918	14482814.3074696	5443479.72194489	9456462.46666066	4331387.12884717	NA	NA	13976305.040713	15612403.8424404	NA	NA	NA	NA	NA	NA	18304566.770737	82816.0234268657	9510686.43359043	9148724.70481281	NA	9796451.40534106	NA	NA	10435716.0864021	NA	NA	NA	5263521.91347318	19386436.37837	20432808.4115283	NA	1152652.53754582	NA	15477952.9217082	NA	3166751.83785087	NA	NA	NA	8301608.14811698	NA	4265061.91733614	6227776.63582871	NA	NA	17096882.1750638	NA	5364822.112774	7602903.75933899	739890.107726502	NA	NA	NA	20391567.789161	7268491.52608096	6003258.8502073	18080296.9546913	13798133.7304794	NA	NA	12509967.954016	7212585.02436215	NA	NA	NA	3507749.98048939	3709021.98050669	19859695.7520438	7922877.80690315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15177667.9563355	NA	16140903.3153608	6014953.6104558	15981745.995847	NA	8049664.98262225	19939181.3952536	2589905.42588538	5339156.9785596	10565348.9189258	NA	NA	1473614.24263377	10365138.8088474	8885660.32916261	NA	17661881.6646054	17819197.0114263	7822983.73609051	NA	NA	6972576.66580886	NA	12335692.484645	6971385.86842618	9131908.15536704	8049787.02356769	11512239.1471673	NA	NA	5966677.57288401	19379690.8217123	NA	10447728.0379533	13661882.4881011	19809965.0113368	9359140.73461065	NA	NA	NA	NA	NA	17077962.635575	19103999.8358388	6082454.09716119	NA	NA	NA	NA	4394342.31243549	NA	NA	20323520.1905227	2318948.72172707	NA	NA	10403406.9702179	323207.602064388	10762701.9946545	10206873.2728383	NA	NA	NA	993813.113591044	143276.179409437	14448612.8595125	NA	NA	NA
"D6RDH5"	10304348.4042706	NA	13474049.9718029	NA	17152720.3163419	NA	NA	8041228.26879496	NA	19846021.6558252	8627676.36289678	10371574.8401268	NA	8332894.84602149	NA	NA	NA	3089358.51139508	17083353.2127336	NA	17394146.6662943	10257095.6177139	NA	6834316.53724913	5835040.14157662	19796706.5357482	16094532.4051364	19041292.2506641	13896091.7104622	NA	NA	2363744.34396817	6366491.88522852	NA	17566187.1927461	NA	11803725.5347232	NA	6947083.87451807	NA	NA	NA	NA	7759842.27196681	NA	14549424.7998618	NA	9635248.87334737	NA	6578858.25276967	NA	NA	1568757.8861809	20432351.5823909	7584587.21546789	NA	NA	NA	NA	2126695.3272598	9057088.52860148	534343.871869278	1566008.6125536	5166540.57987258	6654404.0105506	NA	NA	8011273.64778614	NA	NA	2624249.10981154	17522046.5192962	12353383.8060003	NA	906621.38434056	NA	6757463.03748089	NA	NA	8474702.22763638	NA	NA	12004828.4799322	NA	NA	3836019.32913015	14267701.8877976	13174016.4259098	NA	11115791.8268301	NA	17592285.2780043	4444524.24347132	NA	NA	NA	NA	3896235.38894638	14019673.0023071	6325348.13140445	NA	NA	NA	NA	NA	NA	10298292.9283221	10408517.4817983	15962993.8314202	2835095.06425473	NA	3889254.25857457	NA	NA	NA	1845434.27405485	NA	15117459.9573982	NA	NA	11633324.2884033	2387031.78061901	NA	NA	1994077.89483604	7561753.13425804	NA	NA	16803896.5401651	NA	16330697.5564644	NA	NA	NA	NA	8611340.32558382	13504620.3792455	NA	15202298.8950121	19126328.832083	NA	2231007.67334849	5714739.82730728	NA	1822820.9058006	1393187.46563869	15610620.7655554	NA	NA	NA	NA	NA	NA	817245.689854332	8309555.97963079	18351726.9761484	7588967.53228401	6832515.80161459	8110402.91535025	8683932.26136608	15588099.4502543	NA	NA	15843264.407249	1000190.48698709	NA	15204388.5660467	NA	NA	NA	NA	NA	4983709.9816968	NA	3546914.46972071	17460676.9210595	18537975.1300264	10345787.5935896	NA	NA	5101386.01354693	NA	NA	20225319.3896484	6308878.47098591	NA	12395198.0070115	NA	12703229.4817816	NA	1378662.25671364	NA	NA	18857762.3498291	2953754.79932501	13275877.1655971	NA	17344810.613628	8972099.05621517	14584134.8302733
"A0A0K0K1L1"	14354853.5077515	NA	NA	13714384.5723033	NA	9228388.03472849	NA	636024.693119801	NA	NA	11429471.1559372	NA	3617317.37247735	3016011.78422336	17878436.0441813	4461615.0912077	15696129.9790508	8434147.62222947	16449325.866479	NA	1361854.94349335	6373870.77762432	15382866.8701431	NA	8870150.45104432	2792494.33273816	11740012.2954226	NA	20069320.7831158	2552569.62364795	NA	NA	NA	NA	17769861.9770765	16893900.4835656	20028966.7099163	NA	NA	10868754.5817179	NA	708764.560781489	NA	380592.042615975	3904272.71334672	NA	NA	NA	18811384.9680609	NA	9374.69751083129	9658394.03120269	NA	3173906.52931926	NA	NA	NA	14774918.6893978	439479.960806211	19877665.5258498	11250707.8897784	1100451.13745091	14885091.0898439	8369286.09312073	NA	10968284.632946	6578557.24508512	NA	NA	11404491.0203667	20335658.6893077	12094258.7019341	14741779.1361381	NA	NA	19199673.0705654	NA	NA	4783721.89791668	956856.662786982	NA	9675987.72741523	3605578.201259	8153989.44858024	NA	NA	8547233.46414387	NA	20210877.8587374	NA	17082202.1582439	11784657.5399213	NA	1950443.92423773	13499381.7834397	NA	NA	NA	2222044.77541917	NA	10437025.8364714	10360789.1652458	20361181.5923114	NA	NA	NA	143826.826899023	7950826.47771771	15456937.1111617	2543530.74693843	18404960.9586536	NA	4592831.2392842	NA	2317226.33459983	NA	17403285.9851716	NA	NA	20135691.285917	4451241.01127578	6780504.72676999	16597508.0423893	18870059.382405	1133787.98714605	NA	NA	10927966.3102679	NA	NA	NA	NA	NA	NA	NA	NA	13720222.8803699	NA	5705912.70332019	8473053.3068076	6640907.94840747	15789963.8297022	NA	17381909.8571443	1012081.35404899	NA	NA	12515785.1867387	19752761.6407761	NA	2935930.21650921	20231738.2189932	NA	12869539.3086177	NA	5785959.83861412	2922058.06249709	NA	17563339.6801311	10170121.6606734	NA	NA	1955614.81627417	NA	19344650.9471782	NA	NA	19738637.5438507	NA	16677696.3905775	14382147.7436916	2815055.01977016	NA	10390035.3139888	14406393.9490847	NA	NA	1752920.23291668	NA	1335172.311276	NA	NA	NA	NA	1705050.11341756	19716356.2752425	NA	NA	2187477.98977636	NA	1438191.00526077	19050779.9622508	9598595.04811383	NA	16141175.7959089	NA	4789569.68013317	NA	18997210.2017881	NA
"Q6ZN83"	NA	5005411.51417735	18191243.0234494	NA	NA	584543.813782741	NA	NA	10501472.5538931	10787245.044055	NA	8950418.67045593	4916903.32538927	NA	NA	NA	NA	15249031.7025353	NA	NA	15394262.3881061	NA	16253093.8429723	12233600.863113	16557461.9385425	NA	9008873.61380991	NA	NA	9125192.80559205	1873972.20749029	NA	7866694.33738189	NA	1560972.62841454	NA	NA	NA	NA	9780190.47600498	NA	NA	1596963.06329889	1056591.04825447	NA	7758189.90123412	1784189.41006784	NA	NA	NA	19008806.8277356	9849681.76663686	14810182.6221047	16695468.3397559	NA	NA	25063.6422964872	17960688.1201267	19475722.9701658	NA	NA	7770211.9883651	NA	NA	NA	16350985.4515625	NA	18323875.2500128	5215886.61108852	8534395.6246318	13711177.4417053	12066453.4757447	5163165.59360522	NA	2239738.74725238	18691056.3027192	16714315.9832473	NA	NA	NA	6075726.10884169	NA	355470.337264644	15479862.4887251	2382784.69671244	NA	NA	NA	4711564.69285281	14678140.8715767	NA	9875538.71074988	10534935.717656	13772973.6193702	NA	NA	NA	NA	9678375.2179474	1242720.98701158	NA	16177124.1372071	NA	NA	12733938.5372933	14675598.8967269	7606353.11601756	NA	14036124.9325988	12169441.8438845	NA	NA	NA	8472049.69883155	NA	NA	3015416.88279403	NA	NA	NA	NA	NA	NA	8435291.88635658	18350776.677515	2336877.18709756	NA	NA	NA	5559637.63904684	11483588.3757025	13224202.9060603	17519637.786873	NA	19470744.0212656	NA	13780497.1888396	6667882.44249516	NA	NA	NA	NA	16430957.4360531	NA	14589310.3237677	18795165.9990732	NA	NA	18737702.4105884	NA	12222253.7675253	NA	8089320.22425289	NA	NA	NA	18159431.8544985	14225924.9314731	NA	15141391.431627	13686875.6904801	NA	14714432.161874	2610602.01801319	NA	NA	15531405.0999288	NA	5581022.79868462	19963404.7599036	NA	NA	NA	1845451.72343087	NA	18425378.1275991	6113946.42837237	11906684.3288592	10497787.9851456	12007746.9939489	12063975.1647078	NA	6684413.36369007	NA	7445163.24636082	508907.09274244	NA	12694377.6850335	20367441.0360958	NA	NA	NA	14240850.8526848	NA	12795674.7627661	NA	NA	NA	7643085.72278082	NA
"Q8NI17"	NA	13055944.107167	18101549.2335477	NA	4857760.40933635	NA	NA	14742598.1290496	1711193.64518921	1815355.98469764	171639.195579179	5558590.60034949	NA	7251133.0800053	18343022.7591516	NA	NA	NA	NA	17955156.2539381	8206689.43354595	7140078.31310257	20380277.5622651	NA	NA	NA	17767603.45109	NA	NA	4715084.14206175	NA	NA	NA	11197715.1293126	5185235.34741536	3978590.11975654	2444280.16171908	8983745.48925807	NA	2740743.56622901	NA	NA	NA	NA	18146983.7018561	NA	NA	106800.8831341	3405219.31704871	NA	9432612.44823198	NA	484905.154821256	5960499.93226934	NA	20425653.7200599	NA	NA	NA	NA	NA	NA	4687806.68455089	NA	NA	NA	NA	NA	NA	NA	17339137.4774434	5794940.07171575	NA	NA	NA	13701374.5183468	NA	NA	15131750.8631255	NA	NA	NA	NA	NA	NA	20045164.6606618	NA	NA	17356020.6362062	NA	NA	5877930.39378737	NA	15184853.1639884	332986.709189655	NA	15910179.7902522	NA	NA	NA	NA	19008007.1780784	NA	NA	3475235.36899467	109528.310542329	19651982.3769649	4602873.04350597	16897302.1364005	NA	NA	NA	NA	13606831.9812976	NA	14960863.0090494	10462918.7357208	NA	11687140.3244199	NA	12841465.256399	15711327.4053205	NA	7565947.74155735	12296686.4863783	19094535.8405569	NA	4436264.55491999	NA	8159986.90428283	NA	18251296.8188199	4486954.6306293	12597915.9117194	7460680.64764887	4734743.50749477	NA	903078.304479494	9200885.17239271	NA	6270058.33926613	702850.921089073	NA	NA	14501538.9488009	NA	13027212.1892039	523038.860350737	NA	NA	NA	9658543.98543958	15093397.0109005	NA	16684282.0525166	NA	10222731.2153304	16768175.5070871	7096232.9276345	NA	19668842.542713	NA	10478730.9396249	NA	12610649.6022015	14373484.5305871	NA	2370065.79085305	11399741.0118481	NA	NA	11712251.5658558	9223140.88316104	5025664.94830427	2493247.71230499	3724088.70538258	NA	1677105.653865	4523995.69211106	16164794.6136741	NA	NA	NA	20356150.0954267	8660451.51113438	NA	6031218.87477458	16232611.1353696	12299123.8649002	20364528.0133745	NA	NA	8021625.46751052	NA	NA	17020650.8904468	8427538.65797393	13766125.7457004	NA	NA
